"id","data_hora","titulo","trecho","link"
505,2013-09-11 15:35:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de anúncio de investimentos para implantação da Linha 3 do Sistema Metropolitano do Rio de Janeiro - São Gonçalo/RJ",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-anuncio-de-investimentos-para-implantacao-da-linha-3-do-sistema-metropolitano-do-rio-de-janeiro"
506,2013-09-11 17:43:00,"Discurso da Presidenta da República, Dilma Rousseff, durante visita às obras da P-74 no Estaleiro Inhaúma - Rio de Janeiro/RJ",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-visita-as-obras-da-p-74-no-estaleiro-inhauma"
507,2013-09-13 15:51:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de formatura de alunos do Pronatec Brasil Sem Miséria - Uberlândia/MG",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-formatura-de-alunos-do-programa-nacional-de-acesso-ao-ensino-tecnico-e-emprego-pronatec-brasil-sem-miseria-uberlandia-mg"
508,2013-09-16 16:20:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de assinatura do contrato para construção da P-75 e da P-77 - Porto Alegre/RS",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-assinatura-do-contrato-para-construcao-da-p-75-e-da-p-77"
509,2013-09-17 19:01:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de posse do procurador-geral da República, Rodrigo Janot - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-posse-do-procurador-geral-da-republica-rodrigo-janot"
510,2013-09-19 16:36:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de inauguração do Projeto Expansão Malha Norte – conclusão da Ferronorte e início da operação do Complexo Intermodal de Rondonópolis - Rondonópolis/MT",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-inauguracao-do-projeto-expansao-malha-norte-2013-conclusao-da-ferronorte-e-inicio-da-operacao-do-complexo-intermodal-de-rondonopolis"
511,2013-09-24 11:40:00,"Discurso da Presidenta da República, Dilma Rousseff, na abertura do Debate Geral da 68ª Assembleia-Geral das Nações Unidas - Nova Iorque/EUA",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-abertura-do-debate-geral-da-68a-assembleia-geral-das-nacoes-unidas-nova-iorque-eua"
512,2013-09-24 19:01:00,"Discurso da Presidenta da República, Dilma Rousseff, durante mesa de abertura do Foro Político de Alto Nível sobre Desenvolvimento Sustentável - Nova Iorque/EUA",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-mesa-de-abertura-do-foro-politico-de-alto-nivel-sobre-desenvolvimento-sustentavel-nova-iorque-eua"
513,2013-09-25 20:43:00,"Discurso da Presidenta da República, Dilma Rousseff, durante encerramento do Seminário Empresarial “Oportunidades em Infraestrutura no Brasil” - Nova Iorque/EUA",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-encerramento-do-seminario-empresarial-201coportunidades-em-infraestrutura-no-brasil201d-nova-iorque-eua"
514,2013-09-27 18:25:00,"Discurso da Presidenta da República, Dilma Rousseff, durante a apresentação do novo Portal Brasil - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-a-apresentacao-do-novo-portal-brasil"
515,2013-09-30 15:35:00,"Declaração à imprensa da Presidenta da República, Dilma Rousseff, após encontro bilateral com o presidente da República do Paraguai, Horacio Cartes - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/declaracao-a-imprensa-da-presidenta-da-republica-dilma-rousseff-apos-encontro-bilateral-com-o-presidente-da-republica-do-paraguai-horacio-cartes"
516,2013-09-30 17:00:00,"Discurso da Presidenta da República, Dilma Rousseff, durante almoço em homenagem ao Presidente da República do Paraguai, Horacio Cartes - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-almoco-em-homenagem-ao-presidente-da-republica-do-paraguai-horacio-cartes"
517,2013-10-02 17:20:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de formatura de 4.500 alunos do Pronatec e de inauguração de três novos campi do IFRN: Ceará-Mirim, Canguaretama e São Paulo do Potengi - Natal/RN",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-formatura-de-4-500-alunos-do-pronatec-e-de-inauguracao-de-tres-novos-campi-do-ifrn-ceara-mirim-canguaretama-e-sao-paulo-do-potengi"
518,2013-10-04 17:55:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de entrega de máquinas e de assinatura das ordens de serviço da BR-158 e da BR-487 - Campo Mourão/PR",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-entrega-de-maquinas-e-de-assinatura-das-ordens-de-servico-da-br-158-e-da-br-487"
519,2013-10-08 14:50:00,"Discurso da Presidenta da República, Dilma Rousseff, na abertura da III Conferência Global sobre Trabalho Infantil - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-abertura-da-iii-conferencia-global-sobre-trabalho-infantil-brasilia-df"
520,2013-10-08 19:15:00,"Discurso da Presidenta da República, Dilma Rousseff, durante abertura da exposição “Mulheres do Brasil”, da artista plástica Eliana Kertész - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-abertura-da-exposicao-201cmulheres-do-brasil201d-da-artista-plastica-eliana-kertesz"
521,2013-10-09 00:00:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de sanção da MP 615 - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-sancao-da-mp-615"
522,2013-10-11 11:40:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de formatura de alunos do Pronatec - Novo Hamburgo/RS",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-formatura-de-alunos-do-pronatec"
523,2013-10-12 14:40:00,"Discurso da Presidenta da República, Dilma Rousseff, na cerimônia de anúncio de investimentos do PAC Mobilidade Urbana e entrega de 57 máquinas motoniveladoras - Porto Alegre/RS",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-anuncio-de-investimentos-do-pac-mobilidade-urbana-e-entrega-de-57-maquinas-motoniveladoras"
524,2013-10-14 16:30:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de inauguração da fábrica de transformadores de corrente e de potencial da Balteau S/A - Itajubá/MG",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-inauguracao-da-fabrica-de-transformadores-de-corrente-e-de-potencial-da-balteau-s-a"
525,2013-10-15 13:40:00,"Discurso da Presidenta da República, Dilma Rousseff, na cerimônia de entrega de 1.740 unidades habitacionais dos Residenciais Acácia, Ipê, Pau Brasil e Jequitibá, do Programa Minha Casa Minha Vida II - Vitória da Conquista/BA",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-entrega-de-1-740-unidades-habitacionais-dos-residenciais-acacia-ipe-pau-brasil-e-jequibita-do-programa-minha-casa-minha-vida-ii-vitoria-da-conquista-ba"
526,2013-10-15 15:50:00,"Discurso da Presidenta da República, Dilma Rousseff, na cerimônia de anúncio de investimentos do PAC Mobilidade Urbana e assinatura dos contratos de metrô e de corredores - Salvador/BA",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-anuncio-de-investimentos-do-pac-mobilidade-urbana-e-assinatura-dos-contratos-de-metro-e-de-corredores"
527,2013-10-17 00:00:00,"Discurso da Presidenta da República, Dilma Rousseff, no lançamento do Plano Brasil Agroecológico durante a 2ª Conferência Nacional de Desenvolvimento Rural Sustentável e Solidário - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-no-lancamento-do-plano-brasil-agroecologico-durante-a-2a-conferencia-nacional-de-desenvolvimento-rural-sustentavel-e-solidario"
528,2013-10-22 17:20:00,"Discurso da Presidenta da República, Dilma Rousseff, na cerimônia de sanção da Lei que institui o Programa Mais Médicos - Brasília/DF",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-sancao-da-lei-que-institui-o-programa-mais-medicos"
529,2013-10-23 13:45:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de inauguração das Unidades Municipais de Educação Infantil e contratação de 44 novas unidades - Belo Horizonte/MG",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-inauguracao-das-unidades-municipais-de-educacao-infantil-e-contratacao-de-44-novas-unidades-belo-horizonte-mg"
530,2013-10-23 16:20:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de formatura de alunos do Pronatec - Belo Horizonte/MG",NA,"http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-formatura-de-alunos-do-pronatec-1"
